Date,Sector,Universe Gross Sales EUR M,Universe Net Sales EUR M
01/02/2010,Sector_156,88.820347,33.84041343
01/02/2010,Sector_157,3.43910111,-6.60345972
01/02/2010,Sector_158,0.39824403,-6.4066212
01/02/2010,Sector_159,50.21137199,-28.03802016
01/02/2010,Sector_160,28.08337469,-21.56230195
01/02/2010,Sector_161,0.82751982,-3.17960392
01/02/2010,Sector_162,14.08395538,6.94828464
01/02/2010,Sector_163,79.66375868,35.15757218
01/02/2010,Sector_164,0.91154457,-0.84438536
01/02/2010,Sector_165,0.17366353,0.17366353
01/02/2010,Sector_166,61.41793771,0.74110346
01/02/2010,Sector_167,2.75327054,-0.44606247
01/02/2010,Sector_168,1418.708964,679.6985595
01/02/2010,Sector_169,392.4996828,36.19420079
01/02/2010,Sector_170,37.26198265,22.01987888
01/02/2010,Sector_171,53.49867376,31.62393145
01/02/2010,Sector_174,102.0622102,74.70497556
01/02/2010,Sector_175,1.18673764,-3.5608734
01/02/2010,Sector_176,34.14988871,4.8570177
01/03/2010,Sector_0,103.62757,66.70917219
01/03/2010,Sector_1,159.7781547,3.06677403
01/03/2010,Sector_2,65.87649694,56.47840214
01/03/2010,Sector_3,47.43591483,8.2286857
01/03/2010,Sector_4,0.13787001,-0.01420286
01/03/2010,Sector_5,38.35143259,20.71463496
01/03/2010,Sector_6,7.86217417,3.4843009
01/03/2010,Sector_7,112.8215248,77.32244663
01/03/2010,Sector_8,281.6903681,231.7145502
01/03/2010,Sector_9,110.7184432,88.50556368
01/03/2010,Sector_10,8.60887197,8.13758031
01/03/2010,Sector_11,0.10472579,-0.04923317
01/03/2010,Sector_12,63.65429778,10.7946937
01/03/2010,Sector_13,0,62.55621933
01/03/2010,Sector_14,0.37481277,-0.14455575
01/03/2010,Sector_15,3.84978077,3.74745058
01/03/2010,Sector_16,546.9922366,-130.1862864
01/03/2010,Sector_17,327.1856918,229.6423553
01/03/2010,Sector_18,1450.416951,620.101977
01/03/2010,Sector_19,97.63997313,-29.93803508
01/03/2010,Sector_20,2322.703379,1264.288655
01/03/2010,Sector_21,1637.990704,1194.090953
01/03/2010,Sector_22,1428.3879,1224.612018
01/03/2010,Sector_23,4.55569626,2.59337187
01/03/2010,Sector_24,87.24604757,-14.34279711
01/03/2010,Sector_25,352.8924704,212.5152552
01/03/2010,Sector_26,0.3123892,-0.36569585
01/03/2010,Sector_27,1109.453886,609.1818915
01/03/2010,Sector_28,65.67541227,-3.11988617
01/03/2010,Sector_29,8.22831193,-6.4993995
01/03/2010,Sector_31,233.1428643,183.4135175
01/03/2010,Sector_32,3615.209291,2782.993635
01/03/2010,Sector_33,1453.20948,1004.892867
01/03/2010,Sector_34,6.53326231,4.91105962
01/03/2010,Sector_35,0.43731582,0.01473867
01/03/2010,Sector_38,165.2047219,70.39468136
01/03/2010,Sector_39,12.16958794,4.16856265
01/03/2010,Sector_40,11.52537816,3.66061232
01/03/2010,Sector_41,131.6478114,29.75345092
01/03/2010,Sector_42,8.2456806,7.48863724
01/03/2010,Sector_44,0.36349069,0.35030526
01/03/2010,Sector_45,0,0
01/03/2010,Sector_46,2.34406856,1.38685076
01/03/2010,Sector_47,4.7019399,2.56702492
01/03/2010,Sector_49,0.27619695,0.09408474
01/03/2010,Sector_50,0.04316164,-0.4197713
01/03/2010,Sector_51,0,-1.24E-05
01/03/2010,Sector_52,0,99.53603503
01/03/2010,Sector_53,197.1201951,158.0289815
01/03/2010,Sector_54,1.20999221,0.85188262
01/03/2010,Sector_55,895.1899254,475.3747949
01/03/2010,Sector_56,824.5353945,619.1192572
01/03/2010,Sector_57,25.73950985,-52.6002086
01/03/2010,Sector_59,228.4150318,133.457546
01/03/2010,Sector_61,303.2839669,-203.4378203
01/03/2010,Sector_62,831.4386386,429.6979723
01/03/2010,Sector_63,7.17450138,-0.19819421
01/03/2010,Sector_64,54.84561805,50.09785606
01/03/2010,Sector_65,120.1656158,19.06790856
01/03/2010,Sector_66,112.8544109,-75.96699495
01/03/2010,Sector_67,3.40989693,3.33903362
01/03/2010,Sector_68,98.18194803,29.92549772
01/03/2010,Sector_70,288.7985202,71.90336236
01/03/2010,Sector_71,0.95017996,-0.01447827
01/03/2010,Sector_72,0.11342406,-1.18415546
01/03/2010,Sector_73,162.9322864,65.03762145
01/03/2010,Sector_75,271.2101475,-8.16644897
01/03/2010,Sector_76,467.3632418,81.54607144
01/03/2010,Sector_77,0.0073904,100.6778016
01/03/2010,Sector_79,1.53355311,1.38239731
01/03/2010,Sector_80,1299.113815,338.1844255
01/03/2010,Sector_81,90.47964408,68.21473364
01/03/2010,Sector_82,208.0892796,-28.54652856
01/03/2010,Sector_83,5.76611792,2.42397383
01/03/2010,Sector_84,1385.739504,-45.63443036
01/03/2010,Sector_85,73.53702259,-35.05276172
01/03/2010,Sector_86,190.598165,136.7339349
01/03/2010,Sector_87,259.4054571,-5.90353096
01/03/2010,Sector_88,0,0
01/03/2010,Sector_89,25.68930087,4.54382176
01/03/2010,Sector_91,52.43463124,51.99398082
01/03/2010,Sector_92,5.94395131,-4.37230872
01/03/2010,Sector_93,63.29178606,-128.3268674
01/03/2010,Sector_94,3.38612145,3.08602794
01/03/2010,Sector_95,1202.781288,372.0229249
01/03/2010,Sector_96,161.1553719,112.5017305
01/03/2010,Sector_97,95.9661094,58.36915713
01/03/2010,Sector_98,0.97164317,-1.62155974
01/03/2010,Sector_99,253.672174,-22.88207649
01/03/2010,Sector_100,0,0
01/03/2010,Sector_101,40.82976629,16.3451871
01/03/2010,Sector_102,580.4886856,184.3263553
01/03/2010,Sector_103,0,-0.00522773
01/03/2010,Sector_104,121.1188592,87.38832575
01/03/2010,Sector_105,22.68513809,-5.67877473
01/03/2010,Sector_106,1.49822105,1.02919396
01/03/2010,Sector_107,1043.033466,587.5040128
01/03/2010,Sector_109,77.59760657,43.19554064
01/03/2010,Sector_110,114.4747611,22.23997138
01/03/2010,Sector_111,789.6756354,50.5012649
01/03/2010,Sector_112,19.3683512,9.53367715
01/03/2010,Sector_113,13.08204242,6.70521499
01/03/2010,Sector_115,0.01466988,-0.16280334
01/03/2010,Sector_116,45.33615974,34.15650756
